ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,CityState,,,,
00757,17620,SANTA ISABEL,PR,"SANTA ISABEL, PR",,,,
00765,99999,VIEQUES,PR,"VIEQUES, PR",,,,
00766,38660,VILLALBA,PR,"VILLALBA, PR",,,,
00767,41980,YABUCOA,PR,"YABUCOA, PR",,,,
00769,17620,COAMO,PR,"COAMO, PR",,,,
00771,41980,LAS PIEDRAS,PR,"LAS PIEDRAS, PR",,,,
00772,41980,LOIZA,PR,"LOIZA, PR",,,,
00773,41980,LUQUILLO,PR,"LUQUILLO, PR",,,,
00775,99999,CULEBRA,PR,"CULEBRA, PR",,,,
00777,41980,JUNCOS,PR,"JUNCOS, PR",,,,
00778,41980,GURABO,PR,"GURABO, PR",,,,
00780,38660,COTO LAUREL,PR,"COTO LAUREL, PR",,,,
00782,41980,COMERIO,PR,"COMERIO, PR",,,,
00783,41980,COROZAL,PR,"COROZAL, PR",,,,
00784,25020,GUAYAMA,PR,"GUAYAMA, PR",,,,
00785,25020,GUAYAMA,PR,"GUAYAMA, PR",,,,
00786,41980,LA PLATA,PR,"LA PLATA, PR",,,,
00791,41980,HUMACAO,PR,"HUMACAO, PR",,,,
00792,41980,HUMACAO,PR,"HUMACAO, PR",,,,
00794,41980,BARRANQUITAS,PR,"BARRANQUITAS, PR",,,,
00795,38660,JUANA DIAZ,PR,"JUANA DIAZ, PR",,,,
00801,99999,ST THOMAS,VI,"ST THOMAS, VI",,,,
00802,99999,ST THOMAS,VI,"ST THOMAS, VI",,,,
00803,99999,ST THOMAS,VI,"ST THOMAS, VI",,,,
00804,99999,ST THOMAS,VI,"ST THOMAS, VI",,,,
00820,99999,CHRISTIANSTED,VI,"CHRISTIANSTED, VI",,,,
00830,99999,ST JOHN,VI,"ST JOHN, VI",,,,
00831,99999,ST JOHN,VI,"ST JOHN, VI",,,,
00840,99999,FREDERIKSTED,VI,"FREDERIKSTED, VI",,,,
00850,99999,KINGSHILL,VI,"KINGSHILL, VI",,,,
00901,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00902,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00907,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00908,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00909,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00910,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00911,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00912,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00913,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00914,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00915,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00916,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00917,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00918,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00919,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00920,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00921,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00922,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00923,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00924,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00925,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00926,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00927,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00928,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00929,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00931,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00934,41980,FORT BUCHANAN,PR,"FORT BUCHANAN, PR",,,,
00935,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00936,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00937,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00940,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00949,41980,TOA BAJA,PR,"TOA BAJA, PR",,,,
00950,41980,TOA BAJA,PR,"TOA BAJA, PR",,,,
00951,41980,TOA BAJA,PR,"TOA BAJA, PR",,,,
00952,41980,SABANA SECA,PR,"SABANA SECA, PR",,,,
00953,41980,TOA ALTA,PR,"TOA ALTA, PR",,,,
00954,41980,TOA ALTA,PR,"TOA ALTA, PR",,,,
00956,41980,BAYAMON,PR,"BAYAMON, PR",,,,
00957,41980,BAYAMON,PR,"BAYAMON, PR",,,,
00958,41980,BAYAMON,PR,"BAYAMON, PR",,,,
00959,41980,BAYAMON,PR,"BAYAMON, PR",,,,
00960,41980,BAYAMON,PR,"BAYAMON, PR",,,,
00961,41980,BAYAMON,PR,"BAYAMON, PR",,,,
00962,41980,CATANO,PR,"CATANO, PR",,,,
00963,41980,CATANO,PR,"CATANO, PR",,,,
00965,41980,GUAYNABO,PR,"GUAYNABO, PR",,,,
00966,41980,GUAYNABO,PR,"GUAYNABO, PR",,,,
00968,41980,GUAYNABO,PR,"GUAYNABO, PR",,,,
00969,41980,GUAYNABO,PR,"GUAYNABO, PR",,,,
